VOC_ID,담당 부서,사업 부문,VOC유형,VOC상세유형,등록채널 유형,발생원인 유형,발생지 유형,처리기한 - 시/분,처리기한 - 일시,발생일시,등록일시,접수일시,배분일시,처리일시,직영/협력업체,VOC등급(4단계),처리결과유형,복합VOC의 부모 VOC_ID,복합VOC FLAG,승인 사용유무,고객이 만족도 직접 회신여부,"즉답처리 (I:등록, R:접수, N:일반)",질문내용,답변내용,개선관리ID,개선관리상태,사후처리유형,처리시간(시:분),준수 여부,유형변경신청,유형변경사유,요약내용
VOCS0000515539,리조트 F&B그룹 운영3,리조트        ,고객요구유형-칭찬격려,,직접 VOC-모바일앱(APP),인적서비스-업무처리-응대스킬,분류불가-발생지정보없음,48.0,20240504 090000,20240430 000000,20240501 000247,20240501 090439,20240502 133310,20240503 193538,협력업체,해당없음,격려,,일반,N,,N,금일(30일) 20시~21시경 오리엔탈누들 레스토랑을 방문하여 패밀리세트를 주문하여 식사하였는데 아내가 먹지 못하는 음식재료가 들어간터라 난처한상황에서 가방에 컵라면작은게 생각나 프론트데스크직원분께 양해를 구하고 식사를 하였습니다. 해당 직원분은 본래 규정상 외부음식을 섭취하는 부분을 충분히 우리에게 고지해주셨습니다. 그러나 식사를 못하는 아내를 편의를 위해 융통성 있는 조치를 취해주셨습니다. 두아이와 부모님 두분을 모시고 아침부터 강행했던 여행인터라 폐장 막바지즈음 너무 피곤한 상황에서 직원분의 배려와 이해로 인해 더욱 뜻깊고 편안하고 즐거운 에버랜드로 마무리될수있음에 감사드립니다. 해당직원분에게 적절한 칭찬과 확실한 리워드가 있을수있기를 정중히 ㄷㄷ요청드립니다. 갑사합니다.,근무자 전달하여 격려하겠습니다.,,,,67:32,준수,N,,"요약:

1. 레스토랑 방문 및 패밀리세트 주문:
   - 아내가 먹지 못하는 음식재료가 들어가 난처한 상황
   - 가방에 있던 컵라면으로 식사

2. 직원의 대응:
   - 규정상 외부 음식 섭취를 고지
   - 아내가 식사를 못하는 상황을 고려하여 융통성 있게 대응

3. 여행 상황:
   - 아침부터 강행했던 여행
   - 폐장 막바지라 피곤한 상황

4. 감사와 요청:
   - 직원의 배려와 이해로 인해 즐거운 여행 마무리
   - 직원에 대한 적절한 칭찬과 리워드 요청"
VOCS0000515544,리조트 주토피아운영그룹 동물보전2,리조트        ,고객요구유형-제안사항,,직접 VOC-홈페이지(PC),위생 및 안전-안전-안전관리,주토피아-(공연/전시)뿌빠타운,48.0,20240504 090000,20240501 000000,20240501 002319,20240501 083647,20240502 124954,20240502 132218,직영업체,해당없음,채택(완료),VOCS0000515540,Sub,,,N,"4월 26일에 아이 학교 현장학습으로 에버랜드 방문했습니다. 사진을 보니 한 우리에 있기에는 위험한 토끼와 기니피그들이 한 곳에 들어있더군요. 토끼는 화가 나면 기니피그들을 초토화 시켜버릴 정도의 힘을 가진 영역동물입니다. 에버랜드처럼 큰 곳에서 어찌 동물 습성을 따지지 않고 한 곳에 모아두셨는지요?방문객들이 좋은 구경 하는 건 좋지만 또 동물들이 안전하고 행복해야 진정 자연사랑이고, 또 방문객들이 행복해지는 선순환이 있기 마련입니다. 토끼랑 기니피그는 따로 두어주세요.확인해 주시고, 개선되었는지의 여부도 안내해 주시기 바랍니다.",우선 주토피아에 많은 관심을 가져주셔 감사합니다.현재 패럿하우스에 있는 토끼는 기니피그들과 함께 지냈던 친구들로써 별다른 문제없이 잘 지내고 있으며항시 사육사가 관심있게 지켜보고 있습니다.앞으로도 더 건강한 동물원을 약속드리며 손님의 소중한 의견 감사합니다.감사합니다.,,,,36:58,준수,N,,"요약:

1. 4월 26일 아이 학교 현장학습으로 에버랜드를 방문했습니다.
2. 한 우리에 위험한 토끼와 기니피그가 함께 있었습니다.
   - 토끼는 화가 나면 기니피그를 초토화시킬 정도의 힘을 가진 영역동물입니다.
3. 에버랜드와 같은 큰 곳에서 동물 습성을 고려하지 않고 한 곳에 모아두는 것은 문제가 있습니다.
4. 방문객들의 좋은 구경도 중요하지만, 동물들의 안전과 행복도 함께 고려되어야 합니다.
5. 토끼와 기니피그는 따로 두어야 합니다.
6. 이 문제에 대한 개선 여부 확인을 요청합니다."
VOCS0000515543,리조트 MD그룹 운영지원,리조트        ,고객요구유형-제안사항,,직접 VOC-모바일앱(APP),이용안내-이용정보제공-주문/결제,주토피아-(공연/전시)판다월드,48.0,20240504 090000,20240501 000000,20240501 003030,20240501 083426,20240501 145923,20240502 151752,직영업체,해당없음,불채택,VOCS0000515542,Sub,,,N,푸바오 트럼프카드 꼭 구매하고 싶어요..  온라인에서 구매할 수 있게 해주세요..,"- 현재 판매중인 트럼프카드는 단종 예정으로 디자인 리뉴얼하여 판매할 계획임- 온라인은 신라인터넷면세점에서 구입 가능 (다만, 해외여행시에 구입 가능)- 파크에서 800개정도 재고 보유하고 있어서 파크에서(에버랜드 방문시) 구입가능",,,,38:47,준수,N,,"요약:

- 푸바오 트럼프 카드를 구매하고 싶어함
- 온라인에서 구매할 수 있게 해달라고 요청"
VOCS0000515541,리조트 B2B그룹 단체세일즈,리조트        ,고객요구유형-칭찬격려,,직접 VOC-홈페이지(PC),이용안내-이용정보제공-시설/공연/동물원 이용안내,분류불가-발생지정보없음,48.0,20240504 090000,20240427 000000,20240501 063502,20240501 083258,20240501 115537,20240501 115708,직영업체,해당없음,전파,,일반,N,,N,"안녕하세요.4월 27일에 교직원 초청행사 다녀왔어요.작년 한 해 여러 가지 사건들로 교사들이 많이 힘들었는데에버랜드에서 이렇게 교직원을 위한 행사를 해주신 데 대하여 감사한 마음이 큽니다.교권이 하락하는 시대에 교사들을 생각해 주는 것 같아 더욱 그렇습니다.일상에서의 걱정과 힘든 일들을 내려 놓고 마음 편히 즐거운 시간을 보내게 해주셔서 감사드려요.그리고 설문 작성할 때 썼지만, 4월 27일 산리오 포토타임 때 계셨던 교육생 ***(이름이 정확한지 모르겠어요)님께 많은 도움 받았어요.더운 날씨에도 불구하고 밝게 웃으면서 친절히 대해 주셔서 감사드려요♡","선생님들께 감사의 마음을 담아 매년 교사 초청행사를 진행하고 있으며,해당 내용은 부서에 공유하도록 하겠습니다.",,,,5:22,준수,N,,"요약:

1. 4월 27일 교직원 초청행사 개최
- 작년 한 해 교사들이 힘든 시기를 겪었으나, 학교에서 이런 행사를 마련해준 것에 대한 감사
- 교권 하락 시대에 교사들을 생각해준 것에 대한 고마움
- 일상의 걱정과 힘든 일들을 잊고 즐거운 시간을 보냈음

2. 산리오 포토타임 도움 
- 교육생 ***님이 더운 날씨에도 친절하게 도와주셔서 감사

요약하면, 교직원 초청행사를 통해 교사들이 힘든 시기를 겪었지만 학교에서 이를 배려하고 격려해주었다는 점, 그리고 행사 중 교육생의 친절한 도움이 있었다는 내용입니다."
VOCS0000515644,리조트 B2B그룹 단체세일즈,리조트        ,고객요구유형-제안사항,,직접 VOC-모바일앱(APP),기타-기타-기타,분류불가-발생지정보없음,48.0,20240504 090000,20240501 000000,20240501 084841,20240501 155630,20240501 155648,20240502 111219,직영업체,해당없음,채택(완료),VOCS0000515637,Sub,,,N,제목 그대로 입니다.,"안녕하세요? 에버랜드입니다.접수주신 내용은 해당 회사가 임직원들게 제공되는 복리후생 제도로개인과 가족간의 좋은 의도로사용을 하셔야하는데...안타까운 마음입니다.일부 몇명 때문에 다른분들에게 피해가 가면 안되는 사항이라좀더 인사부서를 통해 재판매 단속을 강화하고, 임직원에게도강력하게 동일 사항이 발생하지 않도록 전달하겠습니다.좋은 제안 주셔서 감사드립니다.",,,,26:23,준수,N,,"다음과 같이 요약해 드립니다:

1. 기술 발전과 디지털 전환 가속화
   - 코로나19 팬데믹으로 인한 비대면 및 온라인 활동 증가
   - 인공지능, 클라우드, 5G 등 핵심 기술의 발전과 보편화

2. 비즈니스 모델 및 운영 방식의 혁신
   - 온라인 플랫폼 활용 확대
   - 자동화, 데이터 분석 등 디지털 기술 도입 증가
   - 유연한 조직 운영과 새로운 업무 방식 도입

3. 고객 경험 및 니즈 변화
   - 비대면 서비스와 맞춤형 경험에 대한 수요 증가
   - 지속가능성, 사회적 가치 등 새로운 고객 요구사항 부상

4. 인재 관리와 조직 문화의 변화
   - 유연한 근무 환경과 업무 방식 도입
   - 디지털 역량 강화 및 새로운 인재 확보 필요

이와 같이 기술 발전과 디지털 전환이 가속화되면서 비즈니스 모델, 고객 경험, 인재 관리 등 다양한 측면에서 혁신이 요구되고 있습니다."
VOCS0000515551,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-기타,,직접 VOC-모바일앱(APP),이용안내-시설운영-시설운영 기타(대기공간),주토피아-(공연/전시)판다월드,48.0,20240504 100143,20240501 000000,20240501 100143,20240501 103521,20240501 131738,20240501 184246,직영업체,해당없음,처리완료(종결),VOCS0000515548,Sub,,,N,직원확인누른 사람들 입장불가하다고 안내 하셨는데 왜 그냥 들야보내준다고 안내 하시나요?들여보주시면 직원확인누르고 스마트 줄서기 다시 가능한데 안된다고 안내하고 왜들여보내주시나요? 일관성있게 운영해주셔야죠,"안녕하세요, 주토피아입니다.말씀주신경우는 악의적으로 직원확인 버튼을 이용하는 사례입니다.그러나 현장에서 인정을 해 드리는 경우는 직원확인 버튼이 눌려있고 추가예약사항이 없이 순수하게 잘못 누르신 경우에 한해서 입장도움 드리고 있습니다.고맙습니다.",,,,8:41,준수,N,,"요약:

1. 직원 확인을 거치지 않은 사람들에 대해 입장이 불가능하다고 안내했음.
2. 그런데 이후에는 이들을 그냥 입장시켜주고 있음.
3. 직원 확인 후 스마트 줄서기가 가능하다고 했지만, 실제로는 되지 않고 있음.
4. 운영 방식에 일관성이 부족해 보임.

이용자는 일관성 있는 운영을 요구하고 있으며, 직원 확인 절차와 스마트 줄서기 시스템의 일관된 적용을 요청하고 있습니다."
VOCS0000515550,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-제안사항,,직접 VOC-모바일앱(APP),이용안내-시설운영-시설운영 기타(대기공간),주토피아-(공연/전시)판다월드,48.0,20240504 100312,20240501 000000,20240501 100312,20240501 103411,20240501 131639,20240501 184234,직영업체,해당없음,채택(완료),VOCS0000515549,Sub,,,N,오늘 5월 1일 에버랜드 오픈시간이 9시 40분 이였습니다. 판다월드는 직원들이 10시부터 QR확인을 하고있던데 앞에서 사람들은 몰리고 이용방법을 모르는 몇몇 고객들은 대기시간동안 QR 직원 확인을 눌러 원래는 입장이 불가하나 직원들이 사정을 봐주더라구요. 그렇게되면 직원확인누른 고객들은 다음 놀이기구도 바로 예약할수있어 바르게 사용하는 고객들은 손해 아닌가요? QR확인을 빨리해주던가 직원확인를 잘못 누른 고객들은 이용을 못하게 하는게 맞아보입니다,"안녕하세요, 주토피아입니다.말씀주신경우는 악의적으로 직원확인 버튼을 이용하는 사례입니다.그러나 현장에서 인정을 해 드리는 경우는 직원확인 버튼이 눌려있고 추가예약사항이 없이 순수하게 잘못 누르신 경우에 한해서 입장도움 드리고 있습니다.고맙습니다.",,,,8:39,준수,N,,"요약:

1. 에버랜드 오픈시간은 5월 1일 오전 9시 40분이었음.
2. 판다월드에서는 직원들이 10시부터 QR 확인을 하고 있었음.
3. 많은 사람들이 몰려 있었고, 일부 고객들은 QR 확인 방법을 모르고 있었음.
4. 직원들이 사정을 봐주어 QR 확인을 잘못 누른 고객들도 입장이 가능했음.
5. 이렇게 되면 QR 확인을 제대로 한 고객들이 손해를 보게 됨.
6. 빠른 QR 확인 또는 QR 확인을 잘못한 고객들의 이용 제한이 필요해 보임."
VOCS0000515552,리조트 파크서비스그룹 어트랙션B,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)사파리월드,48.0,20240504 105542,20240501 000000,20240501 105542,20240501 110318,20240501 130118,20240501 130817,직영업체,해당없음,격려,,일반,N,,N,사파리 ***님 재미있게 설명해 주셔서 감사합니다!!,- 아침조회 시 칭찬 VOC 사례 공유 및 해당근무자 격려,,,,2:12,준수,N,,"사파리 님의 설명을 요약하면 다음과 같습니다:

1. 공통 내용:
   - 인공지능과 윤리의 중요성
   - 인공지능 기술 발전에 따른 윤리적 문제 대두
   - 인공지능 윤리 강령 및 가이드라인 필요성

2. 하이라이트:
   - 인공지능이 인간의 일자리를 대체할 수 있다는 우려
   - 자율주행차 사고 시 책임 소재 문제
   - 개인정보 침해 및 데이터 악용 문제
   - 인공지능 기술의 편향성 및 차별 문제
   - 인간과 인공지능의 상호작용에 따른 윤리적 고려 필요

3. 결론:
   - 인공지능 기술 발전과 함께 윤리적 기준 마련이 중요
   - 다양한 이해관계자들의 협력과 노력이 필요"
VOCS0000515553,리조트 파크서비스그룹 어트랙션B,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)사파리월드,48.0,20240504 105704,20240501 000000,20240501 105704,20240501 110354,20240501 130103,20240501 130836,직영업체,해당없음,격려,,일반,N,,N,사파리 여러번 타봤지만 최고 유쾌한 시간이었습니다 ㅋ동물 이름도 다 알려주시고 아이도 너무 즐거워 하더라구요.오늘처럼 항상 즐겁게 일하셨으면 좋겠네요. 다음에 방문할때 또 뵙고 싶어요~,- 아침조회 시 칭찬 VOC 사례 공유 및 해당근무자 격려,,,,2:11,준수,N,,"요약:

1. 사파리 투어를 여러 번 경험했지만, 이번 투어가 가장 즐거운 시간이었다.
2. 가이드가 동물들의 이름을 자세히 알려주어서 도움이 되었다.
3. 아이가 사파리 투어를 매우 즐거워했다.
4. 가이드가 항상 이렇게 즐겁게 일하면 좋겠다.
5. 다음에 방문할 때 다시 만나고 싶다."
VOCS0000515563,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-제안사항,,직접 VOC-홈페이지(PC),이용안내-시설운영-일반시설 관리(편의시설/보관소),주토피아-(공연/전시)판다월드,48.0,20240504 105804,20240501 000000,20240501 105804,20240501 114537,20240501 131951,20240501 133703,직영업체,해당없음,채택(완료),VOCS0000515554,Sub,,,N,에버랜드 판다월드 쌍둥이 판다 몸무게 표지판태어났을때 몸무게 루이바오 후이바오 서로 바뀌었네요 ㅠㅜ몇년은 쓸텐데 개선 부탁드립니다,"안녕하세요, 주토피아입니다.판다월드에 확인해 조치하도록 하겠습니다.고맙습니다.",,,,2:38,준수,N,,"요약:

- 에버랜드 판다월드에 사는 쌍둥이 판다 루이바오와 후이바오
- 태어났을 때의 몸무게가 표지판에 잘못 표기되어 서로 바뀌어 있었음
- 몇 년간 이 정보가 잘못 유지되고 있었음
- 이 부분에 대한 개선이 필요함"
