VOC_ID,담당 부서,사업 부문,답변채널,VOC유형,등록채널 유형,발생원인 유형,발생지 유형,처리기한 - 시/분,처리기한 - 일시,발생일시,등록일시,접수일시,배분일시,처리일시,직영/협력업체,처리결과유형,복합VOC의 부모 VOC_ID,복합VOC FLAG,승인 사용유무,고객이 만족도 직접 회신여부,"즉답처리 (I:등록, R:접수, N:일반)",질문내용,답변내용,개선관리ID,개선관리상태,사후처리유형,처리시간(시:분),준수 여부,유형변경신청,요약내용
VOCS0000510819,리조트 B2C그룹,리조트        ,웹+메일,고객요구유형-제안사항,직접 VOC-모바일앱(APP),규정 및 정책 -운영정책-패키지 상품,분류불가-발생지정보없음,48.0,20240404 090000,20240401 000000,20240401 004256,20240401 085625,20240401 092634,20240401 104341,직영업체,기 시행/검토,VOCS0000510812,Sub,,,N,애가 셋인 다둥이 엄마입니다. 입장권 예매를 하려하는데 패키지 예매도 어른1 아이1  하나 구매하면 못하고 다른 것들도 대부분 2장 제한 이러니 구매하고싶어도 어떻게 예매해야하나 참 난감하고 막내가 지금은 어려서 다행이지만 나중에 크면 애 셋에 어른 둘을 일반 예매 아니면 답이 없나 싶어 셋이어서 참 불편하다라는 생각이 드네요.. 이런 점에서 개선점을 찾아주시면 좋겠습니다.,"안녕하세요 에버랜드 패키지 상품 담당자입니다.패키지 예매는 현재 2인 이상의 인원으로 상품을 꾸리고 있습니다. 개별 발권의 경우 홈페이지 1인권 및 제휴할인이 있으니해당 품목을 이용하시는 방법도 좋을듯 합니다. 상품을 전부 마련하기엔 각 할인 유형, 상품 유형별로 차이가 있어양해 부탁드리겠습니다. 추후 상품 제작시 손님의 의견을 최대한 반영해보고자 노력하겠습니다.고맙습니다.",,,,10:0,준수,N,"요약:

1. 다둥이 엄마로서 입장권 예매의 어려움을 겪고 있음
- 패키지 예매 시 성인 1명, 아동 1명만 구매 가능
- 대부분의 예매 옵션이 2장 제한
- 가족 전체(성인 2명, 아동 3명)로 예매하기 어려움

2. 현재는 막내가 어려서 괜찮지만, 나중에 아이들이 크면 더 큰 불편함이 예상됨
- 가족 전체(성인 2명, 아동 3명)로 일반 예매를 하는 것이 거의 불가능한 상황

3. 이런 문제점에 대한 개선이 필요함을 강조"
VOCS0000510814,리조트 파크서비스그룹 어트랙션B,리조트        ,내부처리,고객요구유형-칭찬격려,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)사파리월드,48.0,20240404 090000,20240331 000000,20240401 023948,20240401 090205,20240401 113254,20240401 173029,직영업체,격려,,일반,N,,N,"한국 호랑이,하이에나, 사자, 뱅갈 호랑이 곰 등 사파리에 있는 거의 모든 동물들의 이름을 성의있게 알려주시고 조용한 트램안을 통통 튀는 텐션으로 역시 에버랜드구나 하고 느낄수있게 관람객들 즐겁게 만드는.***캡틴을 칭찬합니다.캡틴 덕에 태호 건곤이의 예쁜 모습 보고 하루종일 기분 좋았던 1인 입니다 ~~",칭찬 사례 공유 및 해당 근무자 격려 하겠습니다.,,,,14:50,준수,N,"이 텍스트는 에버랜드 사파리에서의 경험을 다루고 있습니다. 주요 내용은 다음과 같이 요약할 수 있습니다:

1. 사파리에서 다양한 동물들을 관찰할 수 있었음 (한국 호랑이, 하이에나, 사자, 뱅갈 호랑이 곰 등)
2. 캡틴의 성의있는 설명과 활기찬 태도로 관람객들이 즐거운 경험을 할 수 있었음
3. 특히 태호와 건곤이라는 귀여운 동물들을 관찰할 수 있어 하루 종일 기분이 좋았다고 언급

요약하면, 이 텍스트는 에버랜드 사파리에서의 즐겁고 만족스러운 경험을 잘 표현하고 있습니다."
VOCS0000510817,리조트 MD그룹 운영지원,리조트        ,내부처리,고객요구유형-칭찬격려,직접 VOC-모바일앱(APP),인적서비스-응대태도-배려,분류불가-발생지정보없음,48.0,20240404 090000,20240401 000000,20240401 083138,20240401 090125,20240401 092755,20240401 171338,협력업체,격려,,일반,N,,N,금일 가족과 함께 파크 입장 직후 풍선을 구매하러 방문했습니다.풍선끈이 아이 키보다 길어서 줄여달라는 요청과 연결부분 테이프 보강을 요청 드렸습니다.저의 요청을 자신의 일처럼 처리해주시고 부족한 부분은 다른 근무자와 협업해 확실하게 처리해주셨습니다. 그리고 구매대기 중인 다른 손님과 제가 불편하지 않게 유연하게 안내진행 해주셨습니다.저의 요청이 바쁜 업무중에 귀찮고 대응하지 않을수도 있었지만본인 가족일 처럼 적극적이고 친절하게 대응해주셔서 칭찬합니다.또한 아이 눈높이에 맞춰서 풍선도 직접 친절하게 아이손에 전달해주시고 유아동반 가족임을 세심하게 배려해주셔서 다시한번 감사드립니다.**님의 배려와 친절 덕분에 에버랜드에서 행복한 추억과 즐거운 기억을 가지고 일상으로 돌아갑니다.감사합니다.,메일 및 이캐비넷 게시를 통한 사례공유 및 격려,,,,8:42,준수,N,"요약:

1. 풍선 구매 시 요청사항 처리:
   - 풍선끈이 길어서 줄여달라는 요청
   - 연결부분 테이프 보강 요청
   - 직원이 자신의 일처럼 적극적으로 처리하고 다른 직원과 협업하여 해결함

2. 고객 응대의 유연성:
   - 구매 대기 중인 다른 손님과 불편하지 않게 안내 진행

3. 직원의 친절한 태도:
   - 바쁜 업무 중에도 열정적이고 친절하게 대응
   - 아이 눈높이에 맞춰 직접 풍선 전달
   - 유아동반 가족에 대한 세심한 배려

4. 고객의 긍정적 경험:
   - 직원의 배려와 친절로 행복한 추억과 즐거운 기억을 가지고 돌아감
   - 고객의 감사 표현"
VOCS0000510836,리조트 B2C그룹,리조트        ,웹+메일,고객요구유형-제안사항,직접 VOC-모바일앱(APP),규정 및 정책 -운영정책-연간이용 프로모션/혜택,분류불가-발생지정보없음,48.0,20240404 101011,20240424 000000,20240401 101011,20240401 112210,20240403 111858,20240403 125315,직영업체,채택(완료),VOCS0000510828,Sub,,,N,I am Japanese. I wish foreigners could also make annual passports. Because I love the Bao family.,"Hello, I'm the person in charge of Everland's annual pass.Please visit Everland's annual pass service center then we will help you to get your annual pass.To purchase an annual pass, it is necessary to sign up for Everland's SOMSATANG membership,so don't forget to sign up for SOMSATANG membership before visiting Everland.Thank you.",,,,50:43,준수,N,"요약:

1. 화자는 일본인이다.
2. 화자는 외국인들도 연간 여권을 만들 수 있었으면 좋겠다고 생각한다.
3. 화자는 Bao 가족을 사랑한다."
VOCS0000510829,리조트 주토피아운영그룹 사파리,리조트        ,내부처리,고객요구유형-칭찬격려,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(공연/전시)판다월드,48.0,20240404 102101,20240330 000000,20240401 102101,20240401 103603,20240402 104507,20240402 110122,직영업체,전파,,일반,N,,N,"푸바오 관람으로 인해 사람이 아주 많을때도방사장내 질서정리를 정말 잘해주셔서 감사와 칭찬의 글 남깁니다.다들 열심이신데, 보이면 유독 안심이 되는 분이 계세요눈 밑에 별? 스티커를 붙이시고 가방에 판다인형달고 있는 체격 좋으신 분이요 흥분한 관람객들이 뛰지않도록 통솔하시는거랑 아이 목마태우는 아버지나 카트팽개치고 관람하는 사람 등등 안내하며 제재 시키시는걸 봤는데 친절하면서도 단호한면이 있어서 사람들이 잘 따르는 힘이 있더라구요 그리고 3월초에 꼬불길임장전에 큐패스 문자 관련해서 계속 우는소리로 투덜거리는 손님한테도 짜증한번 인상찡그리는것 한번 없이 잘 얘기하시더라고요 가끔 판다들 귀여워서 웃으며 보는것도 봤는데 판다도 사랑하시는거 같고요 이 캐스트분 오래오래 쭉 근무해주셨으면 하는 마음에 글남깁니다",해당 근무자 격려하겠습니다.고맙습니다.,,,,24:40,준수,N,"이 텍스트는 푸바오 관람 경험에 대한 긍정적인 리뷰입니다. 주요 내용은 다음과 같이 요약할 수 있습니다:

1. 관람객이 많은 상황에서도 질서 정리를 잘해주셔서 감사함.
2. 눈 밑에 별 스티커를 붙이고 판다 인형을 달고 있는 체격 좋으신 분이 관람객들을 잘 통솔하고 제재함.
3. 친절하면서도 단호한 태도로 관람객들을 잘 관리함.
4. 까다로운 손님에게도 인내심 있게 잘 대응함.
5. 때로는 귀여운 판다들을 보며 웃는 등 판다에 대한 애정도 보임.

종합적으로 이 직원의 전문성과 열정, 고객 응대 능력에 대해 긍정적으로 평가하고 있으며, 계속해서 근무해주기를 바라는 마음이 드러나 있습니다."
VOCS0000510832,리조트 F&B그룹 기획,리조트        ,웹+메일,고객요구유형-제안사항,직접 VOC-홈페이지(PC),품질-음식품질-음식 종류,분류불가-발생지정보없음,48.0,20240404 104351,20240401 000000,20240401 104351,20240401 110644,20240401 171626,20240401 171818,직영업체,채택(완료),VOCS0000510830,Sub,,,N,"안녕하세요.젊은 장인들이 만든 콜드브루 브랜드. 마르니스 입니다.당사의 콜드브루는 커피가 만들어지는 과정에서 한 분야에 장인이라 불릴만큼 오랜기간 업력을 가진 분들이 협업하여 만들었습니다.생두 수입 및 로스팅 = 10년 이상 경력콜드브루추출 = 10년 이상 경력원두숙성 및 R&D = 20년 이상 경력당사의 콜드브루는 보석처럼 매혹적인 커피들로 구성되어 있습니다.1. 버터스카치 콜드브루2. 시나몬 콜드브루3. [출시임박] 벚꽃 콜드브루, 청포도,감귤, 위스키, 장미, 약재 + 콜드브루위 제품들 외에도 다양하게 개발되는 제품들이 있으며 에버랜드에 입점하여 판매를 희망하오니 바쁘시겠지만 확인하시어 회신 부탁 드립니다.감사합니다.담당자 : ****연락처 : ***-****-****",안녕하세요 에버랜드입니다.현재 신규 카페 브랜드 입점 검토는 하지 않고 있으나 제품 납품을 위한 검토는 가능합니다.담당자분께 전화드려 통화하도록 하겠습니다.감사합니다.,,,,6:34,준수,N,"요약:

1. 마르니스는 젊은 장인들이 만든 콜드브루 브랜드입니다.
2. 마르니스의 콜드브루는 10년 이상의 경력을 가진 전문가들이 협업하여 만들었습니다.
   - 생두 수입 및 로스팅, 콜드브루 추출, 원두 숙성 및 R&D 분야에서 각각 10년 이상, 20년 이상의 경력을 가진 전문가들이 참여했습니다.
3. 마르니스의 콜드브루 제품은 다양한 맛과 향을 가지고 있습니다.
   - 버터스카치, 시나몬, 벚꽃, 청포도, 감귤, 위스키, 장미, 약재 등의 다양한 맛과 향을 가진 제품들이 있습니다.
4. 마르니스는 에버랜드에 입점하여 판매를 희망하고 있습니다."
VOCS0000510831,리조트 파크서비스그룹 어트랙션A,리조트        ,내부처리,고객요구유형-칭찬격려,직접 VOC-QR코드,인적서비스-응대태도-표정/자세/말투,유러피언어드벤처-(어트랙션)로얄쥬빌리캐로셀,48.0,20240404 105848,20240401 000000,20240401 105848,20240401 112339,20240401 113243,20240402 085708,직영업체,격려,,일반,N,,N,로얄쥬빌리 캐로셀 / 안***캐스트,- VOC 내용 공유 및 해당근무자 격려 실시,,,,21:58,준수,N,"요약:

1. 로얄 쥬빌리 캐로셀은 퀸 엘리자베스 2세의 백금 쥬빌리 축하 행사의 일환으로 개최되었습니다.

2. 이 행사에는 영국 왕실과 연관된 다양한 의식과 전통이 연출되었습니다. 
   - 기병대의 퍼레이드, 왕실 수레, 왕실 깃발 등이 등장했습니다.
   - 이를 통해 영국 왕실의 역사와 전통을 보여주었습니다.

3. 특히 이번 행사에서는 퀸 엘리자베스 2세의 통치 70주년을 기념하는 의미 있는 행사였습니다.
   - 여왕의 장기 집권을 축하하고, 왕실의 위상을 드러냈습니다.

4. 이번 캐로셀 행사는 영국 국민들의 뜨거운 관심을 받으며, 영국 왕실의 위상과 전통을 알리는 데 기여했습니다."
VOCS0000510833,리조트 파크서비스그룹 어트랙션B,리조트        ,내부처리,고객요구유형-칭찬격려,직접 VOC-QR코드,인적서비스-응대태도-표정/자세/말투,주토피아-(어트랙션)사파리월드,48.0,20240404 111114,20240401 000000,20240401 111114,20240401 112420,20240401 113226,20240401 172941,직영업체,격려,,일반,N,,N,사파리월드 럭키캡틴 칭찬합니다 재미있고 편안한 진행과 설명을 해주셔서 아이들과 즐겁게 봤습니다 칭찬합니다,칭찬 사례 공유 및 해당 근무자 격려 하겠습니다.,,,,6:18,준수,N,"요약:

- 사파리월드 ""럭키캡틴""의 진행과 설명에 대한 긍정적인 평가
- 아이들과 함께 즐겁게 관람했다는 내용
- 재미있고 편안한 진행으로 칭찬받음"
VOCS0000510835,리조트 마케팅기획그룹 IMC,리조트        ,웹+메일,고객요구유형-일반문의,직접 VOC-홈페이지(PC),이용안내-이용정보제공-이용정보제공 기타(주변 교통상황),분류불가-발생지정보없음,48.0,20240404 111511,20240401 000000,20240401 111511,20240401 112152,20240401 112515,20240401 153508,직영업체,처리자 답변완료,VOCS0000510834,Sub,,,N,"안녕하세요, 스타일러 매거진*** 에디터님 어시스턴트 *** 입니다.다름이 아니라, 현재 애버랜드에서 진행하고 있는 튤립축제 관련하여 이미지를 제공 받을 수 있을지 여쭤보려고 문의 납깁니다.저희 스타일러(주부생활) 매거진은 매달 목차리스트에 핫플, 신상 카페 등의 매장 이미지가 삽입되고 짧은 소개글이 들어갑니다.따라서 이번 스타일러 매거진 5월호의 목차리스트에 삽입될 에버랜드(튤립축제) 이미지 제공이 가능한지 문의 드리려고 연락드렸습니다.해당 장소(튤립축제) 가로 전경 고해상(5000*5000 권장) 이미지 제공을 요청드리고 싶습니다.이미지는 4월 10일, 수요일까지 받아볼 수 있을까요?더불어, 확인하실 수 있는 저희 매거진 인스타그램 링크 주소 남겨드리겠습니다.https://www.instagram.com/styler_mag/이미지 제공 가능 여부는 ***으로 회신 부탁드리며, 추가 문의 사항이 생기실 경우에는박유은 에디터_***-****-****, ****로 부탁드리겠습니다.감사합니다.-*** 드림-",안녕하세요.에버랜드 튤립 축제에 관심 가져주셔서 감사합니다.요청주신 기간 내에 이미지 전달드리도록 하겠습니다.감사합니다.,,,,4:19,준수,N,"요약:

1. 스타일러 매거진에서 애버랜드 튤립축제 관련 이미지 제공 요청
2. 매달 목차리스트에 핫플, 신상 카페 등의 매장 이미지와 짧은 소개글 삽입
3. 5월호 목차리스트에 애버랜드(튤립축제) 이미지 제공 요청
4. 가로 전경 고해상(5000*5000 픽셀) 이미지 제공 요청
5. 이미지 제공 기한은 4월 10일(수)까지
6. 스타일러 매거진 인스타그램 계정 정보 제공
7. 이미지 제공 가능 여부는 *** 으로 회신 요청
8. 추가 문의 사항은 박유은 에디터에게 연락 요청"
VOCS0000510837,리조트 주토피아운영그룹 동물보전2,리조트        ,내부처리,고객요구유형-칭찬격려,직접 VOC-QR코드,인적서비스-응대태도-표정/자세/말투,주토피아-(동물원)나비정원,48.0,20240404 112337,20240401 000000,20240401 112337,20240401 112457,20240402 104541,20240402 131220,직영업체,격려,,일반,N,,N,"딸이 나비 좋아해서 30분정도 대기하고 입장했어요. 스토리가 있어서 아이들의 집중도를 높여주고 마지막에 직접 나비를 가까이서 볼수있어서 너무 좋았어요. 이름은 기억나지 않지만 키 크고 안경 쓴 여자근무자 분께서 애벌레, 번데기 직접 만져보고 체험하게 해 주셔서 아이 뿐 아니라 부모인 저도 유익하고 신기했어요. 아이도 너무 좋아해서 나비체험관에서 나가기 싫어했어요. 앞으로 에버랜드 방문하면 무조건 여기부터 갈거 같네요. 대만족 입니다^^",격려 및 내용 공유토록 하겠음,,,,25:48,준수,N,"요약:

1. 딸이 나비를 좋아해서 30분 정도 대기 후 입장했음.
2. 스토리가 있어 아이들의 집중도를 높여주고, 직접 나비를 가까이서 볼 수 있어 좋았음.
3. 키 크고 안경 쓴 여자 근무자가 애벌레와 번데기를 직접 만져볼 수 있게 해줘서 아이와 부모 모두 유익하고 신기했음.
4. 아이가 나비 체험관에서 나가기 싫어할 정도로 좋아했음.
5. 앞으로 에버랜드 방문 시 반드시 나비 체험관을 가고 싶어함.
6. 전반적으로 매우 만족스러운 경험이었음."
